,state_code,quarter,policy,score
772,VA,Q2,inmate_releases,10
773,VA,Q3,inmate_releases,13
774,VA,Q4,inmate_releases,12
776,VT,Q2,inmate_releases,12
777,VT,Q3,inmate_releases,13
778,VT,Q4,inmate_releases,12
780,WA,Q2,inmate_releases,4
784,WI,Q2,inmate_releases,13
785,WI,Q3,inmate_releases,13
786,WI,Q4,inmate_releases,13
787,WI,Q1,inmate_releases,13
788,WV,Q2,inmate_releases,13
789,WV,Q3,inmate_releases,13
790,WV,Q4,inmate_releases,13
791,WV,Q1,inmate_releases,13
812,CA,Q2,inmate_social_distance,13
813,CA,Q3,inmate_social_distance,13
814,CA,Q4,inmate_social_distance,13
815,CA,Q1,inmate_social_distance,13
816,CO,Q2,inmate_social_distance,13
817,CO,Q3,inmate_social_distance,10
820,CT,Q2,inmate_social_distance,13
821,CT,Q3,inmate_social_distance,10
836,HI,Q2,inmate_social_distance,9
837,HI,Q3,inmate_social_distance,13
838,HI,Q4,inmate_social_distance,13
839,HI,Q1,inmate_social_distance,13
844,ID,Q2,inmate_social_distance,3
845,ID,Q3,inmate_social_distance,13
846,ID,Q4,inmate_social_distance,13
847,ID,Q1,inmate_social_distance,13
852,IN,Q2,inmate_social_distance,13
853,IN,Q3,inmate_social_distance,13
854,IN,Q4,inmate_social_distance,13
855,IN,Q1,inmate_social_distance,13
856,KS,Q2,inmate_social_distance,13
857,KS,Q3,inmate_social_distance,13
858,KS,Q4,inmate_social_distance,13
859,KS,Q1,inmate_social_distance,13
860,KY,Q2,inmate_social_distance,9
861,KY,Q3,inmate_social_distance,10
864,LA,Q2,inmate_social_distance,13
865,LA,Q3,inmate_social_distance,10
873,MD,Q3,inmate_social_distance,7
874,MD,Q4,inmate_social_distance,13
875,MD,Q1,inmate_social_distance,13
876,ME,Q2,inmate_social_distance,13
877,ME,Q3,inmate_social_distance,13
878,ME,Q4,inmate_social_distance,13
879,ME,Q1,inmate_social_distance,13
880,MI,Q2,inmate_social_distance,13
881,MI,Q3,inmate_social_distance,13
882,MI,Q4,inmate_social_distance,13
883,MI,Q1,inmate_social_distance,13
888,MO,Q2,inmate_social_distance,12
889,MO,Q3,inmate_social_distance,13
890,MO,Q4,inmate_social_distance,13
891,MO,Q1,inmate_social_distance,2
892,MS,Q2,inmate_social_distance,5
893,MS,Q3,inmate_social_distance,13
894,MS,Q4,inmate_social_distance,13
895,MS,Q1,inmate_social_distance,2
900,NC,Q2,inmate_social_distance,11
901,NC,Q3,inmate_social_distance,13
902,NC,Q4,inmate_social_distance,5
908,NE,Q2,inmate_social_distance,13
909,NE,Q3,inmate_social_distance,13
910,NE,Q4,inmate_social_distance,13
911,NE,Q1,inmate_social_distance,2
912,NH,Q2,inmate_social_distance,4
913,NH,Q3,inmate_social_distance,13
914,NH,Q4,inmate_social_distance,13
915,NH,Q1,inmate_social_distance,13
916,NJ,Q2,inmate_social_distance,6
917,NJ,Q3,inmate_social_distance,13
918,NJ,Q4,inmate_social_distance,13
919,NJ,Q1,inmate_social_distance,13
956,SD,Q2,inmate_social_distance,13
957,SD,Q3,inmate_social_distance,13
958,SD,Q4,inmate_social_distance,10
960,TN,Q2,inmate_social_distance,12
961,TN,Q3,inmate_social_distance,13
962,TN,Q4,inmate_social_distance,10
967,UT,Q2,inmate_social_distance,7
968,UT,Q3,inmate_social_distance,13
969,UT,Q4,inmate_social_distance,13
971,VA,Q2,inmate_social_distance,7
972,VA,Q3,inmate_social_distance,13
973,VA,Q4,inmate_social_distance,12
975,VT,Q2,inmate_social_distance,5
976,VT,Q3,inmate_social_distance,13
977,VT,Q4,inmate_social_distance,12
979,WA,Q2,inmate_social_distance,11
980,WA,Q3,inmate_social_distance,13
981,WA,Q4,inmate_social_distance,11
983,WI,Q2,inmate_social_distance,7
984,WI,Q3,inmate_social_distance,13
985,WI,Q4,inmate_social_distance,13
986,WI,Q1,inmate_social_distance,13
